Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,39050.000000,40000.000000,39050.000000,39600.000000,30460.617188,715600
2023-01-03,39600.000000,39650.000000,39025.000000,39050.000000,30037.552734,1454700
2023-01-04,39050.000000,39100.000000,37500.000000,37525.000000,28864.511719,3524000
2023-01-05,37525.000000,37525.000000,35025.000000,35150.000000,27037.644531,5661500
2023-01-06,35100.000000,36125.000000,34500.000000,35400.000000,27229.945313,3838200
2023-01-09,35400.000000,35750.000000,34275.000000,34800.000000,26768.419922,2579100
2023-01-10,34800.000000,36125.000000,34325.000000,36100.000000,27768.390625,2876500
2023-01-11,36100.000000,36600.000000,35300.000000,36075.000000,27749.162109,2119700
2023-01-12,35975.000000,35975.000000,34825.000000,34875.000000,26826.111328,3028100
2023-01-13,35100.000000,35475.000000,35100.000000,35300.000000,27153.025391,1176400
2023-01-16,35300.000000,35300.000000,34650.000000,35075.000000,26979.953125,1065900
2023-01-17,34550.000000,35550.000000,34550.000000,35550.000000,27345.326172,1655200
2023-01-18,35925.000000,36500.000000,35500.000000,35700.000000,27460.707031,1969900
2023-01-19,35050.000000,36975.000000,35050.000000,36850.000000,28345.294922,1497700
2023-01-20,37000.000000,38675.000000,36950.000000,38325.000000,29479.876953,2872300
2023-01-24,38000.000000,38025.000000,37275.000000,37500.000000,28845.279297,2093300
2023-01-25,37500.000000,37500.000000,36525.000000,36525.000000,28095.302734,1835900
2023-01-26,35475.000000,35725.000000,34900.000000,35125.000000,27018.412109,4227400
2023-01-27,35500.000000,36150.000000,35500.000000,36100.000000,27768.390625,2506100
2023-01-30,36100.000000,36525.000000,35550.000000,35650.000000,27422.246094,1598200
2023-01-31,35500.000000,36200.000000,35250.000000,36200.000000,27845.310547,2913800
2023-02-01,35750.000000,35975.000000,35500.000000,35500.000000,27306.867188,1775400
2023-02-02,35225.000000,35725.000000,35100.000000,35100.000000,26999.181641,1900900
2023-02-03,35100.000000,35325.000000,34225.000000,34275.000000,26364.587891,2638800
2023-02-06,34275.000000,34725.000000,33625.000000,33900.000000,26076.134766,2450000
2023-02-07,34975.000000,37025.000000,34800.000000,36500.000000,28076.074219,6081400
2023-02-08,36750.000000,36975.000000,35525.000000,36100.000000,27768.390625,1951200
2023-02-09,35200.000000,35700.000000,34950.000000,35375.000000,27210.714844,1651100
2023-02-10,34400.000000,34600.000000,33925.000000,34150.000000,26268.435547,3286100
2023-02-13,34700.000000,35500.000000,34700.000000,35225.000000,27095.333984,2420600
2023-02-14,35250.000000,35475.000000,34875.000000,35125.000000,27018.412109,1465900
2023-02-15,35325.000000,35950.000000,35325.000000,35425.000000,27249.175781,1912900
2023-02-16,35700.000000,35800.000000,35250.000000,35400.000000,27229.945313,724800
2023-02-17,35250.000000,35275.000000,34850.000000,35125.000000,27018.412109,1484300
2023-02-20,35100.000000,35525.000000,34875.000000,35500.000000,27306.867188,1347000
2023-02-21,35500.000000,35900.000000,35050.000000,35150.000000,27037.644531,1218400
2023-02-22,35900.000000,35900.000000,35350.000000,35575.000000,27364.556641,1457100
2023-02-23,35800.000000,36325.000000,35725.000000,35900.000000,27614.548828,3500600
2023-02-24,36225.000000,36575.000000,35675.000000,36025.000000,27710.701172,3271400
2023-02-27,36025.000000,36325.000000,35825.000000,36050.000000,27729.929688,2007000
2023-02-28,36075.000000,37725.000000,36050.000000,37200.000000,28614.519531,4923200
